UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies'
UNSPC,11222 - 'Mineral and Textile and Inedible Plant and Animal Materials'
UNSPC,11676 - 'Chemicals including Bio Chemicals and Gas Materials'
UNSPC,12171 - 'Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials'
UNSPC,12368 - 'Paper Materials and Products'
UNSPC,12526 - 'Fuels and Fuel Additives and Lubricants and Anti corrosive Materials'
UNSPC,12631 - 'Mining and Well Drilling Machinery and Accessories'
UNSPC,13386 - 'Farming and Fishing and Forestry and Wildlife Machinery and Accessories'
UNSPC,13512 - 'Building and Construction Machinery and Accessories'
UNSPC,13622 - 'Industrial Manufacturing and Processing Machinery and Accessories'
UNSPC,14496 - 'Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies'
UNSPC,14884 - 'Commercial and Military and Private Vehicles and their Accessories and Components'
UNSPC,15753 - 'Power Generation and Distribution Machinery and Accessories'
UNSPC,16321 - 'Tools and General Machinery'
UNSPC,16966 - 'Structures and Building and Construction and Manufacturing Components and Supplies'
UNSPC,17964 - 'Manufacturing Components and Supplies'
UNSPC,20969 - 'Electronic Components and Supplies'
UNSPC,21284 - 'Electrical Systems and Lighting and Components and Accessories and Supplies'
UNSPC,21915 - 'Distribution and Conditioning Systems and Equipment and Components'
UNSPC,22957 - 'Laboratory and Measuring and Observing and Testing Equipment'
UNSPC,25024 - 'Medical Equipment and Accessories and Supplies'
UNSPC,27880 - 'Information Technology Broadcasting and Telecommunications'
UNSPC,28606 - 'Office Equipment and Accessories and Supplies'
UNSPC,29015 - 'Printing and Photographic and Audio and Visual Equipment and Supplies'
UNSPC,29299 - 'Defense and Law Enforcement and Security and Safety Equipment and Supplies'
UNSPC,29735 - 'Cleaning Equipment and Supplies'
UNSPC,29978 - 'Service Industry Machinery and Equipment and Supplies'
UNSPC,30176 - 'Sports and Recreational Equipment and Supplies and Accessories'
UNSPC,30522 - 'Food Beverage and Tobacco Products'
UNSPC,60895 - 'Public Utilities and Public Sector Related Services'
UNSPC,61011 - 'Financial and Insurance Services'
UNSPC,61133 - 'Healthcare Services'
UNSPC,61338 - 'Education and Training Services'
UNSPC,61471 - 'Travel and Food and Lodging and Entertainment Services'
UNSPC,61577 - 'Personal and Domestic Services'
UNSPC,61627 - 'National Defense and Public Order and Security and Safety Services'
UNSPC,61746 - 'Politics and Civic Affairs Services'
UNSPC,62033 - 'Organizations and Clubs'
UNSPC,62160 - 'Land and Buildings and Structures and Thoroughfares'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3072 - 'Cats'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3073 - 'Dogs'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3074 - 'Mink'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3075 - 'Rats'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3076 - 'Horses'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3077 - 'Sheep'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3078 - 'Goats'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3079 - 'Asses'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3080 - 'Mice'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3081 - 'Swine'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3082 - 'Rabbits'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3083 - 'Guinea pigs'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3084 - 'Primates'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3085 - 'Armadillos'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3086 - 'Cattle'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3087 - 'Camels'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3088 - 'Alpaca'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3071 - 'Livestock',3089 - 'Buffalo or bison'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3090 - 'Birds and fowl'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3090 - 'Birds and fowl',3091 - 'Live chickens'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3090 - 'Birds and fowl',3092 - 'Live ducks'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3090 - 'Birds and fowl',3093 - 'Live turkeys'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3090 - 'Birds and fowl',3094 - 'Live geese'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3090 - 'Birds and fowl',3095 - 'Live pheasants'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3090 - 'Birds and fowl',3096 - 'Live ostrich'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3090 - 'Birds and fowl',3097 - 'Live guinea fowl'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3099 - 'Live salmon'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3100 - 'Live trout'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3101 - 'Live tilapia'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3102 - 'Live carp'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3103 - 'Live eels'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3104 - 'Live sole'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3105 - 'Live palometa fish or mylossoma aureum'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3106 - 'Live sardine fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3107 - 'Live red belly pacu fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3108 - 'Live peruvian rock seabass fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3109 - 'Live paiche fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3110 - 'Live mojarra fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3111 - 'Live mauri fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3112 - 'Live maparate fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3113 - 'Live lumptail sea robin fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3114 - 'Live llambina fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3115 - 'Live ispi fish'
UNSPC,3069 - 'Live Plant and Animal Material and Accessories and Supplies',3070 - 'Live animals',3098 - 'Live fish',3116 - 'Live frigate tuna fish or melva fish'
